ID,cond,0:00:01,0:00:24,0:00:48,0:01:12,0:01:37,0:02:01,0:02:25,0:02:50,0:03:14,0:03:38,0:04:03,0:04:27,0:04:51,0:05:16,0:05:40,0:06:04,0:06:29,0:06:53,0:07:17,0:07:42,0:08:06,0:08:30,0:08:55,0:09:19,0:09:43,0:10:08,0:10:32,0:10:56,0:11:21,0:11:45,0:12:09,0:12:34,0:12:58,0:13:22,0:13:47,0:14:11,0:14:35,0:14:59,0:15:24,0:15:48,0:16:12,0:16:37,0:17:01,0:17:25,0:17:50,0:18:14,0:18:38,0:19:03,0:19:27,0:19:51,0:20:16,0:20:40,0:21:04,0:21:29,0:21:53,0:22:17,0:22:42,0:23:06,0:23:30,0:23:55,0:24:19,0:24:43,0:25:08,0:25:32,0:25:56,0:26:21,0:26:45,0:27:09,0:27:34,0:27:58,0:28:22,0:28:47,0:29:11,0:29:35,0:29:59,0:30:24,0:30:48,0:31:12,0:31:37,0:32:01,0:32:25,0:32:50,0:33:14,0:33:38,0:34:03,0:34:27,0:34:51,0:35:16,0:35:40,0:36:04,0:36:29,0:36:53,0:37:17,0:37:42,0:38:06,0:38:30,0:38:55,0:39:19,0:39:43,0:40:08,total
1f96072f,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0.102564103,0.307692308,0.384615385,0.435897436,0.435897436,0.435897436,0.435897436,0.435897436,0.435897436,0.461538462,0.487179487,0.512820513,0.512820513,0.538461538,0.538461538,0.666666667,0.666666667,0.666666667,0.666666667,0.692307692,0.692307692,0.717948718,0.717948718,0.743589744,0.743589744,0.769230769,0.794871795,0.820512821,0.820512821,0.820512821,0.846153846,0.846153846,0.897435897,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.974358974,0.974358974,0.974358974,0.974358974,0.974358974,0.974358974,0.974358974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39
ff8b1bfd,4,0,0,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.230769231,0.384615385,0.384615385,0.384615385,0.384615385,0.384615385,0.384615385,0.384615385,0.538461538,0.615384615,0.615384615,0.615384615,0.769230769,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.923076923,0.923076923,0.923076923,0.923076923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13
37ff4491,2,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
df64ac87,2,0,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,0.176470588,0.176470588,0.176470588,0.176470588,0.235294118,0.264705882,0.264705882,0.264705882,0.352941176,0.352941176,0.352941176,0.352941176,0.352941176,0.352941176,0.352941176,0.352941176,0.441176471,0.441176471,0.441176471,0.5,0.617647059,0.617647059,0.617647059,0.617647059,0.764705882,0.852941176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34
00032f23,4,0,0,0,0,0.066666667,0.066666667,0.066666667,0.133333333,0.133333333,0.133333333,0.266666667,0.266666667,0.266666667,0.266666667,0.266666667,0.333333333,0.333333333,0.533333333,0.6,0.6,0.666666667,0.733333333,0.733333333,0.733333333,0.8,0.8,0.8,0.8,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.933333333,0.933333333,0.933333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
ebe82b31,4,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.153846154,0.346153846,0.384615385,0.384615385,0.384615385,0.384615385,0.384615385,0.384615385,0.423076923,0.423076923,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.461538462,0.5,0.538461538,0.615384615,0.615384615,0.615384615,0.615384615,0.769230769,0.769230769,0.769230769,0.769230769,0.807692308,0.807692308,0.807692308,0.807692308,0.807692308,0.807692308,0.846153846,0.884615385,0.884615385,0.884615385,0.884615385,0.884615385,0.884615385,0.884615385,0.884615385,0.884615385,0.961538462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
6748a287,2,0,0,0,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.285714286,0.285714286,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.571428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
d4876d54,4,0,0,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.214285714,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.571428571,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.928571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
17833150,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
7b72ef02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.363636364,0.363636364,0.363636364,0.363636364,0.363636364,0.363636364,0.545454545,0.727272727,0.818181818,0.818181818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11
