QualtricsID,Condition,userID,OpenedDocIDs-unique,uniqueDocCount,grossDocCount,overlapWA,independence,homogeneity-within,homogeneity-among,completionTime,grossInteractions,interactionRate,Searches,searchCount-Gross,searchCount-Unique,Highlights,Affiliations,AffiliationEvents-Gross,affiliation-events-unique,summaryNote,firstFindAD96,proportionalFindAD96,doc-relevance,dragsEvents,screenWidth,screenHeight
R_3rUt6Q2lNReNmGL,4,1f96072f,"""ArmsDealing1"",""ArmsDealing10"",""ArmsDealing102"",""ArmsDealing103"",""ArmsDealing17"",""ArmsDealing26"",""ArmsDealing31"",""ArmsDealing58"",""ArmsDealing63"",""ArmsDealing67"",""ArmsDealing72"",""ArmsDealing73"",""ArmsDealing76"",""ArmsDealing87"",""ArmsDealing93"",""ArmsDealing96"",""ArmsDealing97""
",17,24,0.6,0.47058823529411764,332,815,2010.782,2611,1.298499787644807,"""8 children"",""Ashur"",""Italian Prostitutes"",""deaths of Thabiti Otieno and Nahid Owiti of Narok on 1 May"",""local health issues"",""tents, food and water, but we need textbooks"",""three shipments in 2007 and 2008 are said to include 14.5 mm machine guns, 23 mm anti-aircraft cannon, RPG-7 rocket launchers and AKM assault rifles"",""travel with Kaya""
",2,2,"""120,000 lira for our textbooks"",""February of 2009,"",""Venezuela, and Colombia"",""jewels"",""none of these documents outwrite discuss 'disease,'"",""textbooks f""
","""historyNode-1"",""historyNode-10"",""historyNode-11"",""historyNode-2"",""historyNode-3"",""historyNode-4"",""historyNode-5"",""historyNode-6"",""historyNode-8"",""historyNode-9""
",34,10,"""- startted in Africa, spreaded to Middle East and South America. from feb - sep 2009<br><br><br>- AA reviewed all docs in 1 hours , seeemed to me that it needs more than that to go through these docs<br><br><br>-health issue in Nigeria, jewels, textbook, , professor<br><br><br>- docs recorded since Feb 2008<br><br><br>- did not find anything related to the disease<br>- arms, diamond and weapon transported<br>- only death mentioned was a elderly couple with 8 children.""
",857.94,0.42666982298429174,0.35294117647058826,30,1600,870
R_2PtWnleRx2KjmzK,4,ff8b1bfd,"""ArmsDealing103"",""ArmsDealing14"",""ArmsDealing25"",""ArmsDealing27"",""ArmsDealing28"",""ArmsDealing3"",""ArmsDealing30"",""ArmsDealing31"",""ArmsDealing33"",""ArmsDealing38"",""ArmsDealing4"",""ArmsDealing41"",""ArmsDealing50"",""ArmsDealing52"",""ArmsDealing53"",""ArmsDealing61"",""ArmsDealing66"",""ArmsDealing67"",""ArmsDealing78"",""ArmsDealing80"",""ArmsDealing81"",""ArmsDealing82"",""ArmsDealing83"",""ArmsDealing84"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing96""
",27,51,0.4666666666666667,0.7407407407407407,522,1375,2039.276,1865,0.9145402584054341,"""Dombrovski"",""Petroleum"",""Thailand"",""arm"",""arms"",""disease"",""illness"",""nigeria"",""pandemic"",""russia"",""spread"",""transmission"",""virus""
",13,13,"
","
",0,0,"""I began looking at all documents pertaining to Nigeria. I noticed that there was definite money laundering occurring as an email was intercepted detailing that a Petroleum Trust Fund was to be used as a front for payments. There was also a diamond dealer, Georgiy Gunter, that acts as a money launderer that did business with Nigeria. A raid of Leonid Minsky's hotel, who was connected to laundering drug money, found money from various nations. I therefore conclude, that it was not arms dealers that helped spread the virus in Nigeria but rather money launderers working for organized drug gangs. <br><br><br>Interestingly, while looking for arms deals, I noticed quite a few in Thailand. A cargo plane seized in Bangkok revealed a flight path with stops in Kiev, Azerbaijan, the UAE, and then Don Mueang airport. They were supposed to continue to more stops afterwards. There was an intercepted phone call showing dealing between Thailand and Russia for an""""exhibition"""". I theorize that this organized crime is connected and that the arms dealing done by people in Thailand is connected to money laundering operations which created a network of transmission that aided in the spread of disease.""
",397.671,0.19500597270796105,0.2222222222222222,43,1536,824
R_oXJpSzZ8fg5Xrwd,2,37ff4491,"""ArmsDealing103"",""ArmsDealing33"",""ArmsDealing34"",""ArmsDealing35"",""ArmsDealing6"",""ArmsDealing61"",""ArmsDealing64"",""ArmsDealing78"",""ArmsDealing79"",""ArmsDealing84"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing87"",""ArmsDealing88"",""ArmsDealing89"",""ArmsDealing90"",""ArmsDealing91"",""ArmsDealing95""
",18,21,0.06666666666666667,0.9444444444444444,114,292,2240.131,1303,0.5816624117071725,"
",0,0,"
","""cov-Colombia"",""cov-Russia"",""cov-Ukraine""
",3,3,"""Initial Incident that likely kickstarted the weapons transfer - [ Mar 2008 - Four Ukrainians and a Belarusian had left a Bangkok airport after gaining ammunition from Russian Cargo. They then checked into a 3-star hotel located near the airport. (The aircraft was Ilyushin, identified by March 2, 2008) (March 3, 2008 - Questioning involving the the flight pattern of the craft) (March 5, 2008 - Ukraine operated area denies that members took the weapons)<br>(Possibly rule out the involvement of this aircraft, due to Iran making it clear that they were not an intended recipient)]<br><br><br>From news article backing up shipment claims - [ Apr 2009 - The United States was partially involved in the shipment of many weapons to southern Sudan government forces to violate a peace agreement, agency is unidentified.]<br><br><br><br>Likely a Root Source - [ A Back and forth conversation between individuals named vwhombre and Jhon indicate plans to meet up, this investigation led to the discovery of an interaction between Nigeria and Russia, in which large funds were being transferred, an official from Nigeria states that he is busy with FME approvals and that contact should be kept daily due to a contract involving the allocation of an exchange control approval order, which likely involves the payment for a large number of ammunitions, as indicated by the large payment, culminating in a possible meeting in April of 2009.] <br><br><br>(Summary - It is likely that this is one of the root causes of the transfer of the disease, as this seems to stand in stark contrast to the idea that Ukraine operated area denies that members of any kind took weapons or were involved in weapons trade. Additionally, this is supported by the article talking about how there were shipments to southern Sudan government forces in the same month of the same year.)<br>""
",-1,-1,0.1111111111111111,48,1280,760
R_3CQqD9plY4nWMKD,2,df64ac87,"""ArmsDealing10"",""ArmsDealing103"",""ArmsDealing17"",""ArmsDealing20"",""ArmsDealing21"",""ArmsDealing23"",""ArmsDealing25"",""ArmsDealing26"",""ArmsDealing31"",""ArmsDealing58"",""ArmsDealing67"",""ArmsDealing68"",""ArmsDealing69"",""ArmsDealing70"",""ArmsDealing72"",""ArmsDealing73"",""ArmsDealing80"",""ArmsDealing81"",""ArmsDealing82"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing96""
",22,30,1.0,0.3181818181818182,311,905,1894.489,2227,1.1755148749873976,"
",0,0,"""Syrians"",""Duba"",""Kenyan"",""Nigerians"",""Russian"",""Yemen"",""extbook salesm"",""jewels"",""minor local health issues to become a distraction to our mutual business success."",""uncut diamonds.""
","""cov-Kenya"",""cov-Lebanon"",""cov-Nigeria"",""cov-Pakistan"",""cov-Russia"",""cov-Saudi"",""cov-Syria"",""cov-Turkey"",""cov-UAE"",""cov-Ukraine"",""cov-Yemen""
",24,11,"""This health crisis definitively started in Nigeria while it was trading arms with Russia which is clear through the""""jewels""""and transactions mentioned between the countries. Russia has had ties to many of these other listed counties in illegal arms dealing. As well as Nigeria's surronding countries have gotten involved in their""""energy""""and""""mineral""""trading. Since these countries have limited connections and customers many of the arms deals are linked together through false transactions of textbooks, minerals, construction, and energy. Addtionally, Russia pointing to the""""minor""""health issue and not letting it prevent business success is an example about how these countries emphasize the importance of illegal arms over health concerns.""
",611.367,0.32270812868272125,0.2727272727272727,75,1600,860
R_2rjrmBDuscgzI5L,4,00032f23,"""ArmsDealing10"",""ArmsDealing25"",""ArmsDealing26"",""ArmsDealing30"",""ArmsDealing31"",""ArmsDealing67"",""ArmsDealing68"",""ArmsDealing69"",""ArmsDealing72"",""ArmsDealing73"",""ArmsDealing74"",""ArmsDealing80"",""ArmsDealing81"",""ArmsDealing85"",""ArmsDealing96""
",15,23,0.8,0.2,361,893,1869.99,1802,0.9636415167995551,"""CONFIDENTIALITY"",""Moscow"",""deaths of Thabiti Otieno and Nahid Owiti of Narok on 1 May"",""disease"",""health"",""local health issues"",""nigeria"",""other arms to countries such as Iran, Syria and Myanmar are believed to contribute hundreds of millions of dollars annually to North Korea's hard-currency earnings."",""travel with Kaya""
",0,0,"
","""historyNode-1"",""historyNode-10"",""historyNode-2"",""historyNode-3"",""historyNode-4"",""historyNode-5"",""historyNode-8""
",15,7,"""The timing of the spread of the infectious disease that started in Nigeria and spread quickly to several other countries lines up with the abundance of trading illegal arms. Within the related documents, the only mention of disease is the one specifically in Nigeria. Since the documents do not discuss disease in the countries it spread to, a connection to the illegal arms trade has to be heavily based on inference. Additionally, it is important to consider the scale of the illegal arms trade in relation to the speed that the disease spread. The main trading system seems to be between Nigeria and Russia, based on the level of communication. The list of countries that the disease spread to contains countries not involved in the illegal arms trade to an extent that would merit a connection. It is unclear whether Syria was involved or if there discussion was unrelated. Based on the given documents, it is likely that the illegal arms trade aided in the spread of the disease, but was not the sole reason for the quick spread.""
",197.699,0.1057219557323836,0.4,54,1707,930
R_1JEG7xXXajgEXvz,4,ebe82b31,"""ArmsDealing102"",""ArmsDealing11"",""ArmsDealing18"",""ArmsDealing25"",""ArmsDealing26"",""ArmsDealing27"",""ArmsDealing28"",""ArmsDealing30"",""ArmsDealing31"",""ArmsDealing4"",""ArmsDealing41"",""ArmsDealing45"",""ArmsDealing47"",""ArmsDealing49"",""ArmsDealing50"",""ArmsDealing54"",""ArmsDealing57"",""ArmsDealing74"",""ArmsDealing75"",""ArmsDealing77"",""ArmsDealing80"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing96""
",24,44,0.3333333333333333,0.7916666666666666,398,1138,2016.527,2356,1.168345377969152,"""local health issues"",""$30.6MILLION, 60% FOR US AND 15% FOR TAXATION AND MISCELLANEOUS EXPENSES AND REMAINING 15% WILL BE FOR CHARITY ORGANIZATION."",""DEPARTMENT OF MINERALS & ENERGY"",""Dr. George and Family"",""Dubai"",""MINERALS & ENERGY"",""Nicolai"",""Nikolai"",""Yemen"",""confidential"",""danger"",""department"",""disease"",""health"",""illness"",""jewels"",""sickness"",""tanya"",""virus"",""waterways""
",14,12,"
","""historyNode-2"",""historyNode-4""
",9,2,"""I have confirmed Analyst A's findings that no articles specifically discuss disease except for one email between Dr. George of Nigeria and Dombroski in Russia about a health issue in Nigeria, likely referring to the pandemic. I have found that there is significant communication throughout the latter half of 2008 from August to December as well as the first three months of 2009 between Russian sources and various countries in Africa where the pandemic was said to have spread. Most of these communications include discussions about transferring large sums of money, and many discuss meeting in Dubai, specifically between the dates of April 17 and April 19, 2009. Some of these communications mention meeting a person named Nicolai, which is likely referencing Nicolai Kuryakin, a known arms dealer. While different countries seem to have different codewords and methods regarding the arms trade, for example people from Turkey saying they plan to buy textbooks while Dr. George of Nigeria references funding to improve waterways, it is possible that the pandemic had spread due to this larger arms trade coordinated by Russian sources, especially with the meeting in Dubai in April 2009 between people arriving from these various countries.""
",149.663,0.07421819792147588,0.375,24,1536,824
R_z0YobBakgQY01tD,2,6748a287,"""ArmsDealing11"",""ArmsDealing14"",""ArmsDealing18"",""ArmsDealing22"",""ArmsDealing25"",""ArmsDealing28"",""ArmsDealing3"",""ArmsDealing30"",""ArmsDealing36"",""ArmsDealing41"",""ArmsDealing54"",""ArmsDealing58"",""ArmsDealing66"",""ArmsDealing74"",""ArmsDealing78"",""ArmsDealing79"",""ArmsDealing82"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing96""
",20,25,0.13333333333333333,0.9,197,527,1864.631,1458,0.7819241447771703,"""disease"",""feel"",""feeling"",""health"",""sick""
",6,5,"""THE TOTAL AMOUNT OF US$30,600,00.00 IS PRESENTLY IN A CODED ACCOUNT AT THE CENTRAL BANK OF NIGERIA (CBN) , WE BY VIRTUE OF OUR AGREEMEN"",""WE WOULD NOT WANT TO EXPOSE OURSELVES TOO MUCH IN CONNECTION WITH THIS CONTRACT PAYMENT AS THIS MAY CAUSE EYE BROWS TO BE RAISED""
","""cov-Russia""
",1,1,"""Reading documents about Russia and mostly searching for anything related to a potential disease, an email from Dombrosvski to George on Feb 2009 mentions how they had a issue on hand""""health issues""""that required  of their assistance but they were still concerned about the transaction taking place on the meeting they were having. It also mentions how Mikhail is sure that George will persevere through the sickness and the health issues going around in order to have a successful meeting. <br><br><br>I also noticed how there was a report on arms dealing that was caught by the surveillance report. Both of the attendees were part of the Defence Systems Equipment International (DSEi). <br><br><br>The illegal arms dealing seems like it was going on since September 2008, I found an email that mentions how there was a big transaction of money that happened and there were trying to keep everything on the low because they did not want people finding a connection and raising eyebrows (asking questions)""
",914.243,0.4903077338089949,0.3,55,1536,824
R_2cuulAPKo4yHL79,4,d4876d54,"""ArmsDealing10"",""ArmsDealing100"",""ArmsDealing102"",""ArmsDealing103"",""ArmsDealing11"",""ArmsDealing15"",""ArmsDealing19"",""ArmsDealing25"",""ArmsDealing30"",""ArmsDealing31"",""ArmsDealing4"",""ArmsDealing45"",""ArmsDealing48"",""ArmsDealing58"",""ArmsDealing61"",""ArmsDealing65"",""ArmsDealing67"",""ArmsDealing77"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing88"",""ArmsDealing89"",""ArmsDealing90""
",23,33,0.3333333333333333,0.782608695652174,296,800,1947.327,1663,0.853991137595278,"""Ahmed"",""Dr. George"",""Dubai"",""Leonid Minsky"",""Tanya"",""professor from Moscow"",""vwhombre""
",5,4,"""Dombrowski.�He has relations with countries in Africa, but doesn't have materialistic goods from there. He is in relations with a Dr. George.�George and Dombrowski are in business doing a payment.�""
","""historyNode-1"",""historyNode-10"",""historyNode-4""
",9,3,"""This is what I have found so far from all the documents and Analyst A. It isn't much, but there are some interesting relations I have found between all the people Analyst A mentioned and a possible connection to the pandemic.<br><br><br>Through some documents, I have learned about certain people and tried to understand what they do. First is <span style=""""background-color:rgb(255, 248, 240);"""">Dombrowski. <span style=""""background-color:rgb(255, 248, 240);"""">He has relations with countries in Africa, but doesn't have materialistic goods from there. He is in relations with a Dr. George. <span style=""""background-color:rgb(255, 248, 240);"""">George and Dombrowski are in business doing a payment, as discussed in different emails.  <span style=""""background-color:rgb(255, 248, 240);"""">We have heard payments for multiple things such as Volkswagen parts, farming equipment. <span style=""""background-color:rgb(255, 248, 240);"""">Some jewels have been in transit and went through some hiccups before being transferred to its destination. Analyst A did mention about a Korean plane being accused of illegal arms, but doesn't seem to big of a role as it coming from the opposite side of the world.  <br><span style=""""background-color:rgb(255, 248, 240);""""><br><br><span style=""""background-color:rgb(255, 248, 240);"""">While there are some signs that may show that the arms trade led to the pandemic, given that Kenya has been accused of being the center of global trades, and it was one of the countries that soon got affected by the pandemic, I think there are more signs that it did not lead to the pandemic growing.""
",-1,-1,0.30434782608695654,30,1536,824
R_3oyB1wVOPLuytZY,1,17833150,"""ArmsDealing10"",""ArmsDealing11"",""ArmsDealing13"",""ArmsDealing14"",""ArmsDealing15"",""ArmsDealing25"",""ArmsDealing3"",""ArmsDealing34"",""ArmsDealing4"",""ArmsDealing45"",""ArmsDealing49"",""ArmsDealing5"",""ArmsDealing50"",""ArmsDealing51"",""ArmsDealing52"",""ArmsDealing56"",""ArmsDealing57"",""ArmsDealing61"",""ArmsDealing64"",""ArmsDealing68"",""ArmsDealing7"",""ArmsDealing73"",""ArmsDealing77"",""ArmsDealing78"",""ArmsDealing80"",""ArmsDealing85"",""ArmsDealing86"",""ArmsDealing89"",""ArmsDealing90"",""ArmsDealing91"",""ArmsDealing96"",""ArmsDealing97"",""ArmsDealing98""
",33,45,0.4,0.8181818181818182,336,810,1973.548,2080,1.0539394025379671,"""The Belize-flagged ship was headed to the Kenyan port of Mombasa when it was seized last Thursday with a crew of 21. Nairobi said the shipment was part of a contract with Ukraine"",""Ukraine"",""disease"",""nigeria"",""shipment""
",5,5,"
","
",0,0,"""After reviewing the documents, I was not able to find a significant connection between the dealing of illegal arms and disease spread in Nigeria. None of the documents mention disease and there is no information to how the spread of the disease takes place. Notes from the analyst who previously reviewed provided no substantial connections between these two variables. The email correspondence between officials in the countries of interest indicate the trade of illegal arms (and some sketchy behavior). The trade of these weapons could be indicative of the opportunity for disease to spread. It is a possibility that there is a connection, but it would be unwise to make a concrete correlation between the spread of the infectious disease and illegal arms dealing. There may be perceived correlation, but not causation. Documents of the details of the disease should be reviewed before continuing to make judgements on the causation.""
",533.111,0.2701282157819318,0.18181818181818182,81,1280,800
R_9WABMD2kqCNOaBj,1,7b72ef02,"""ArmsDealing1"",""ArmsDealing101"",""ArmsDealing103"",""ArmsDealing11"",""ArmsDealing18"",""ArmsDealing26"",""ArmsDealing27"",""ArmsDealing28"",""ArmsDealing30"",""ArmsDealing31"",""ArmsDealing41"",""ArmsDealing57"",""ArmsDealing60"",""ArmsDealing65"",""ArmsDealing70"",""ArmsDealing74"",""ArmsDealing75"",""ArmsDealing8"",""ArmsDealing85"",""ArmsDealing93"",""ArmsDealing97""
",21,21,0.2,0.8571428571428571,147,413,1891.043,1779,0.940750686261497,"""April 18"",""April 19"",""April 20"",""April 21"",""Burj"",""Nahid"",""Nicolai"",""Saleh Ahmed"",""Saudi"",""Saudi Arabia"",""jewels""
",11,11,"
","
",0,0,"""On October 29, 2008, three people were involved in the seizure of a cache of weapons. These three people were Superintendent Wanjohi, Mr Thabiti, and Nahid who were in possession of over 68,000 live ammunition and planning to sell them to foreign interests. <br><br><br>Saleh Ahmed has been shown to be in relation to these three people and has been identified as someone who operates gun exports to Saudi Arabia. In 2008, Saudi Arabia declined weapon safety and regulation bills, allowing for the sale of personal firearms in attempt to cut illegal trade. <br><br><br>I am to believe that Saleh Ahmed was the head of these operations, and the three being prosecuted for being in possession of the live ammunition were his""""middlemen"""". It says that they retrieved these weapons from some sort of British army base, but no documents refer to any sort of virus or illness. I could be wrong, but I believe the illegal trading of weapons by these four, and potentially more, people had to dow with the start of the pandemic. <br><br>""
",-1,-1,0.3333333333333333,49,1440,835
